tax_id,superkingdom,phylum,class,order,family,genus,species,clade,clade1,clade10,clade11,clade12,clade13,clade2,clade3,clade4,clade5,clade6,clade7,clade8,clade9,forma specialis,forma specialis1,isolate,kingdom,no rank,no rank1,no rank2,no rank3,section,serogroup,serotype,species group,species subgroup,strain,subclass,subfamily,subgenus,suborder,subphylum,subspecies
91888,Eukaryota,Streptophyta,Magnoliopsida,,,,,Embryophyta,Tracheophyta,,,,,Euphyllophyta,Spermatophyta,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,,,,Viridiplantae,cellular organisms,,,,,,,,,,,,,,Streptophytina,
91890,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,Legionella pneumophila subsp. pascullei
91891,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,Legionella pneumophila subsp. pneumophila
92400,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma anseris,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
92401,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma cloacale,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
92644,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces malaysiensis,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
92682,Bacteria,Cyanobacteria,,Chroococcales,Aphanothecaceae,,,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,Halothece cluster,,,,,,,,,Oscillatoriophycideae,,,,,
92713,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,,PVC group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
92826,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,,,,,,,,,,,,,,,,,,,cellular organisms,Xanthomonas campestris pv. incanae,,,,,,,,,,,,,,
92944,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
92945,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,Ketogulonicigenium vulgare,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
92947,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ketogulonicigenium,Ketogulonicigenium robustum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93059,Bacteria,Cyanobacteria,,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,Prochlorococcus marinus str. MIT 9211,,,,,,
93060,Bacteria,Cyanobacteria,,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,Prochlorococcus marinus str. MIT 9215,,,,,,
93064,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas koreensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93217,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93218,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea apista,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93219,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea norimbergensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93220,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea pnomenusa,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93221,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea pulmonicola,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93222,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea sputorum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93378,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella hoshinae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93386,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Mardivirus,Columbid alphaherpesvirus 1,Duplodnaviria,Heunggongvirae,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alphaherpesvirinae,,,,
93466,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium pennivorans,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
93973,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella japonica,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
94132,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Ramlibacter tataouinensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
94624,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella petrii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
94694,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,TACK group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
95300,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas vancouverensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
95301,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas multiresinivorans,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas aeruginosa group,Pseudomonas nitroreducens/multiresinivorans group,,,,,,,
95485,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia stabilis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Burkholderia cepacia complex,,,,,,,,
95486,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Burkholderia cepacia complex,,,,,,,,
95641,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,Methylomicrobium buryatense,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
95818,Bacteria,Candidatus Saccharibacteria,,,,,,Bacteria candidate phyla,,,,,,,,,,,,,,,,,,cellular organisms,Bacteria incertae sedis,,,,,,,,,,,,,,
95901,Bacteria,,,,,,,Bacteria candidate phyla,Candidatus Dependentiae,,,,,,,,,,,,,,,,,cellular organisms,Bacteria incertae sedis,,,,,,,,,,,,,,
96344,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus oxalaticus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
96345,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
96561,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus oleovorans,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,Desulfococcus oleovorans Hxd3,,,,,delta/epsilon subdivisions,
96773,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera chlorobenzoica,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
96901,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas synxantha,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas fluorescens group,,Pseudomonas synxantha BG33R,,,,,,
96939,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis riparia,Embryophyta,Tracheophyta,,,,,Euphyllophyta,Spermatophyta,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,,,,,Viridiplantae,cellular organisms,rosids incertae sedis,,,,,,,,,,,,,Streptophytina,
96942,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla sp. C1,,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Vitreoscilla,,,,,,,,,,,,,,
97084,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Halobacteriovorax marinus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
97195,Viruses,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Raphidovirus,Heterosigma akashiwo virus 01,Varidnaviria,,,,,,,,,,,,,,,,,Bamfordvirae,,,,,,,,,,,,,,,,
97700,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus lobata,Embryophyta,Tracheophyta,,,,,Euphyllophyta,Spermatophyta,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,,,,Viridiplantae,cellular organisms,,,,,,,,,,,,,,Streptophytina,
98228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. OxB-1,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Bacillus,,,,,,,,,,,,,,
98360,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,,,,,,,,,,,,,,,,,,cellular organisms,Salmonella enterica subsp. enterica serovar Dublin,,,,,,,,,,,,,,Salmonella enterica subsp. enterica
98785,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,,,,,,,,,,,,,,,Buchnera aphidicola (Aphis gossypii),,,,cellular organisms,,,,,,,,,,,,,,,
98793,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,,,,,,,,,,,,,,,Buchnera aphidicola (Rhopalosiphum padi),,,,cellular organisms,,,,,,,,,,,,,,,
98794,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,,,,,,,,,,,,,,,Buchnera aphidicola (Schizaphis graminum),,,,cellular organisms,,,,,,,,,,,,,,,
98795,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,,,,,,,,,,,,,,,Buchnera aphidicola (Myzus persicae),,,,cellular organisms,,,,,,,,,,,,,,,
98804,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,,,,,,,,,,,,,,,Buchnera aphidicola (Tuberolachnus salignus),,,,cellular organisms,,,,,,,,,,,,,,,
99598,Bacteria,Cyanobacteria,,Nostocales,Calotrichaceae,Calothrix,Calothrix sp. PCC 7507,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,unclassified Calothrix,,,,,,,,,,,,,,
99822,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Streptococcus dysgalactiae group,,,,,,,,Streptococcus dysgalactiae subsp. dysgalactiae
100225,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Austwickia,Austwickia chelonae,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
100226,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Streptomyces albidoflavus group,,Streptomyces coelicolor A3(2),,,,,,
100901,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Onchocerca ochengi,,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Wolbachia,,,,,,,,,,,,,,
101020,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria vesca,Embryophyta,Tracheophyta,,,,,Euphyllophyta,Spermatophyta,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,,,,Viridiplantae,cellular organisms,,,,,,,,,,,Rosoideae,,,Streptophytina,Fragaria vesca subsp. vesca
101510,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus jostii,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,Rhodococcus jostii RHA1,,,,,,
101571,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ubonensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Burkholderia cepacia complex,,,,,,,,
102107,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus mume,Embryophyta,Tracheophyta,,,,,Euphyllophyta,Spermatophyta,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,,,,Viridiplantae,cellular organisms,,,,,,,,,,,Amygdaloideae,,,Streptophytina,
102115,Bacteria,Cyanobacteria,,Pleurocapsales,Dermocarpellaceae,Stanieria,,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
103721,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema pretiosum,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,Actinosynnema pretiosum subsp. pretiosum
103733,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix,Saccharothrix syringae,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
103796,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,,,,,,,,,,,,,,,,,,,cellular organisms,Pseudomonas syringae group pathovars incertae sedis,Pseudomonas syringae pv. actinidiae,,,,,Pseudomonas syringae group,Pseudomonas syringae group genomosp. 1,,,,,,,
103816,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus pyridinivorans,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
103855,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella hinzii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
104087,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas frederiksbergensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
104102,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter tropicalis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
104264,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
104267,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
104268,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum mesophilum,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
104336,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium foliorum,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
104623,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia sp. ATCC 39006,,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Serratia,,,,,,,,,,,,,,
104628,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter suis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
104955,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus frumenti,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
105219,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia mannitolilytica,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
105559,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus watsonii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,Nitrosococcus watsonii C-113,,,,,,
105850,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,TACK group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106178,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,canis group,,,,,,,,
106370,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,Frankia casuarinae,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106589,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106590,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus necator,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106592,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Ensifer adhaerens,,,,,,,,,,,,,,,,,,,cellular organisms,Sinorhizobium/Ensifer group,,,,,,,,,,,,,,
106633,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106634,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio versutus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106648,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106649,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter guillouiae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
106654,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,
107401,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum maritimum,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
107637,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Methylomonas sp. LW13,,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Methylomonas,,,,,,,,,,,,,,
108980,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter ursingii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
108981,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
109328,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia trevisanii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
109376,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea,Embryophyta,Tracheophyta,,,,,Euphyllophyta,Spermatophyta,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,,,,Viridiplantae,cellular organisms,,,,,,,,,,,,,,Streptophytina,
109790,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus jensenii,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
110319,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. CF8,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Nocardioides,,,,,,,,,,,,,,
111015,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radicidentis,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
111527,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,pseudomallei group,,,,,,,,
111780,Bacteria,Cyanobacteria,,Pleurocapsales,Dermocarpellaceae,Stanieria,Stanieria cyanosphaera,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,Stanieria cyanosphaera PCC 7437,,,,,,
111781,Bacteria,Cyanobacteria,,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. PCC 7376,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,unclassified Leptolyngbya,,,,,,,,,,,,,,
112234,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium joostei,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
113107,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
113355,Bacteria,Cyanobacteria,,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis herdmanii,Terrabacteria group,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,Geminocystis herdmanii PCC 6308,Oscillatoriophycideae,,,,,
113562,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes derwentensis,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
114090,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus inopinatus,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
114186,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus Carsonella,Candidatus Carsonella ruddii,,,,,,,,,,,,,,,,,,,cellular organisms,Zymobacter group,,,,,,,,,,,,,,
114277,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,spotted fever group,,,,,,,,
114527,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Mogibacterium,Mogibacterium diversum,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,Clostridiales incertae sedis,,,,,,,,,,,,,,
114615,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. ORS 278,,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Bradyrhizobium,,,,,,,,,,,,,,
114880,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma columbinasale,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
114881,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma columbinum,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
114885,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma maculosum,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
115545,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,Pasteurella multocida subsp. septica
115561,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas hydrothermalis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
115808,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. ORS 285,,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Bradyrhizobium,,,,,,,,,,,,,,
